ID,name,datetime,allbox,firstweekbox,firstdaybox,watchcount,comment_number,long_comment_number,short_avg_emotion,long_avg_score,score,tagscore,enviroment,isChinese,runtime,effect
10440138,侏罗纪世界,2015-06-10,141820.703,60555.801,10091.6,159647,93304,732,2.035,3.70694,7.7,8,8,0,124,5
10485647,X战警：逆转未来,2014-05-23,72293.297,24575.801,6608.5,38327,100910,695,3.72324,4.25823,8.2,11,5,0,132,7
10574468,北京遇上西雅图,2013-03-21,52013.0,7735.0,1011.9,10569,157529,2537,2.99564,2.65,7.3,5,2,1,123,6
10574622,人再囧途之泰囧,2012-12-12,127095.797,30849.699,3871.5,22543,184677,1981,3.80739,3.47692,7.5,2,7,1,105,12
10605978,私人订制,2013-12-19,71347.398,32436.0,7149.7,16741,83425,1584,1.25304,2.96701,5.8,2,2,1,118,10
10727641,碟中谍5：神秘国度,2015-09-08,86806.0,55198.801,10786.6,406056,74692,438,3.37799,3.98977,7.8,6,8,0,131,6
10741834,复仇者联盟2：奥创纪元,2015-05-12,146118.0,96420.398,18547.801,321146,120037,685,3.38907,3.61558,7.5,10,8,0,142,12
10807909,智取威虎山,2014-12-23,88334.297,32088.0,1707.2,40684,97516,1191,2.49528,3.824,7.7,10,3,1,143,9
10807916,白发魔女传之明月天国,2014-07-31,38904.602,22364.301,2568.2,41015,22275,411,1.38872,2.30789,3.8,10,6,1,103,5
11026735,超能陆战队,2015-02-28,52624.699,8544.8,3742.8,41328,179553,878,3.70718,3.92506,8.7,11,8,0,102,0
11502973,星际特工：千星之城,2017-08-25,40958.699,19355.0,5994.2,160306,56857,799,2.58813,3.46115,7.0,8,7,0,137,3
11529526,中国合伙人,2013-05-17,54052.0,10766.6,2465.9,15454,150897,3168,2.34632,3.82398,7.6,3,2,0,112,9
11589036,功夫熊猫3,2016-01-29,100053.797,33943.301,10707.8,336766,80872,726,3.77078,3.88354,7.7,8,14,0,95,1
11598977,叶问3,2016-03-04,76947.898,44230.5,14097.7,236121,35355,826,2.92291,3.56812,6.6,6,9,1,105,6
11606328,霍比特人2：史矛革之战,2014-02-21,46259.0,20328.4,5600.7,20393,74020,505,2.71146,4.1114,8.4,7,13,0,161,7
11610281,敢死队3,2014-09-01,45273.301,25801.699,4245.5,69642,26504,196,2.50013,3.42197,6.8,6,6,0,126,6
11620560,007：幽灵党,2015-11-13,54113.301,30792.1,9098.6,267812,48332,489,2.03426,3.02902,6.4,6,6,0,148,4
11624706,小黄人大眼萌,2015-09-13,43511.398,12097.0,11641.9,392845,60128,250,3.025,3.5,7.6,3,6,0,91,3
11625097,澳门风云,2014-01-31,52468.801,7321.5,2610.6,10856,38884,241,1.42194,3.1435,5.7,5,8,1,93,6
1292722,泰坦尼克号,1998-04-03,36000.0,,,143,328549,4065,4.24622,4.625,9.4,7,2,0,194,9
1578714,神奇女侠,2017-06-02,61014.301,26368.5,7401.7,122585,132053,1953,3.10355,3.66107,7.1,7,9,0,141,2
1652587,阿凡达,2010-01-04,133986.406,,,649,212221,4490,3.32519,4.28475,8.7,8,7,0,162,3
1652592,阿丽塔：战斗天使,2019-02-22,89692.5,43632.199,12614.5,172381,176948,2919,3.06098,3.57586,7.5,8,10,0,122,0
1866473,蚁人,2015-10-16,67035.398,27189.699,7588.6,265588,103876,396,3.79118,3.70946,7.7,8,5,0,117,3
1866479,复仇者联盟,2012-05-05,56826.898,11937.5,6348.8,399,159762,1145,3.96548,4.22945,8.2,10,7,0,142,12
1889243,星际穿越,2014-11-12,87697.703,26884.5,3340.7,111270,358946,5778,3.08969,3.99329,9.3,8,3,0,169,8
1907966,疯狂原始人,2013-04-20,39465.699,4016.6,2005.9,11241,159951,1041,4.29267,4.15878,8.7,5,4,0,98,6
1929463,少年派的奇幻漂流,2012-11-22,57288.301,10263.4,1129.1,6102,286420,7411,3.78157,4.41781,9.1,7,4,0,127,3
19899707,驯龙高手3,2019-03-01,36796.0,21923.1,5569.8,199916,69994,687,3.94308,3.85235,7.5,5,8,0,104,0
19944106,美人鱼,2016-02-08,339119.188,181991.594,27172.301,613749,219216,5612,2.10957,3.46102,6.7,7,9,1,93,8
20257326,极品飞车,2014-03-14,41153.801,13162.4,3617.1,17760,27604,253,2.6615,3.69737,7.2,10,3,0,130,3
20266753,警察故事2013,2013-12-24,53405.602,28150.301,6845.5,14520,29947,500,1.96562,3.29054,5.8,9,7,1,108,9
20326665,星球大战：原力觉醒,2016-01-09,82425.797,34766.199,19615.6,291102,60632,812,2.32015,3.55743,7.2,8,12,0,135,3
20376577,小时代,2013-06-27,48431.602,26848.301,7323.1,21240,130990,3920,0.558081,2.12838,4.8,8,4,1,116,9
20435622,环太平洋：雷霆再起,2018-03-23,63323.199,41157.898,13624.4,337907,68808,1226,1.27443,2.71329,5.5,8,10,0,111,3
20451290,新木乃伊,2017-06-09,62563.199,35973.398,12004.8,122805,41211,622,1.37524,2.41275,4.8,7,7,0,110,5
20471852,生化危机：终章,2017-02-24,110949.0,65416.898,21330.699,251371,67191,1068,2.19606,3.3311,6.5,3,14,0,106,3
2049435,超人：钢铁之躯,2013-06-20,39446.301,16211.8,3459.7,7780,60117,969,3.10422,3.61644,7.1,8,7,0,143,6
20495023,寻梦环游记,2017-11-24,123007.203,11869.4,1279.2,28395,365750,6807,4.13477,4.32886,9.1,5,6,0,105,6
20505982,寒战2,2016-07-08,67661.203,29852.301,9576.5,179848,63412,1104,2.34289,3.49495,7.1,9,11,1,110,7
20513061,京城81号,2014-07-18,41206.801,15824.7,4580.4,36817,31539,486,1.67013,2.90323,4.8,3,6,1,90,4
2063914,哥斯拉,2014-06-13,48125.199,23154.5,6583.1,31630,53473,586,1.78414,3.14138,6.5,9,3,0,123,4
2131940,魔兽,2016-06-08,146886.703,102809.703,25098.4,479894,85936,1626,2.38244,3.79863,7.7,7,6,0,124,1
21441132,爱丽丝梦游仙境2：镜中奇遇记,2016-05-27,38627.898,17703.0,4750.5,248677,41213,609,2.64045,3.55518,6.9,4,7,0,115,4
2146991,变形金刚2,2009-06-24,40366.102,,,131,52088,1398,,3.17114,7.7,6,5,0,150,5
2158490,正义联盟,2017-11-17,69058.297,34532.5,10075.9,176293,82654,1439,3.18777,3.07879,6.4,10,9,0,120,10
21817627,爱宠大机密,2016-08-02,38863.199,19431.5,3439.6,67203,67706,420,3.36886,3.72241,7.7,3,7,0,87,0
22266012,全球风暴,2017-10-27,43403.0,22609.4,6505.4,92251,28168,409,1.89911,3.11409,6.0,7,4,0,109,1
22939161,星际迷航3：超越星辰,2016-09-02,44026.102,20653.6,6229.7,222225,38927,407,3.14196,3.61745,7.4,8,7,0,122,2
2363876,007：大破天幕杀机,2013-01-21,37610.602,22077.801,3111.2,8652,70523,889,2.64323,3.71429,7.1,6,13,0,143,3
23761370,速度与激情7,2015-04-12,242312.797,39831.398,34594.398,252328,113163,1093,3.26405,4.11604,8.4,6,7,0,137,12
23788440,杀破狼2,2015-06-18,55966.398,26661.4,6491.3,80657,45610,503,3.40366,3.74828,7.4,9,7,1,120,9
24405378,王牌特工：特工学院,2015-03-27,48366.5,15400.0,3524.1,26000,154348,898,2.95327,4.00678,8.4,7,3,0,125,6
24529353,绝地逃亡,2016-07-21,88769.297,40645.602,9827.6,275810,28084,465,2.66503,3.16162,5.7,5,7,1,111,4
24733428,心灵奇旅,2020-12-25,37452.801,3617.1,448.3,19450,244546,4944,4.12275,4.05724,8.8,3,6,0,101,2
24736566,北京爱情故事,2014-02-14,40648.699,20443.1,10165.5,14230,45575,722,2.15063,3.07797,6.1,3,8,1,121,7
24750534,蝙蝠侠大战超人：正义黎明,2016-03-25,61826.0,37251.0,12065.0,341744,75423,1613,3.16936,3.79791,6.8,10,9,0,151,9
24751756,老炮儿,2015-12-24,90115.797,25310.5,5500.9,198900,194292,5703,3.15636,3.7449,7.6,6,3,1,137,7
24753477,蜘蛛侠：英雄归来,2017-09-08,77476.602,46277.602,13463.2,482982,120512,1173,4.13633,3.63265,7.4,8,9,0,133,5
24753810,战狼,2015-04-02,54467.102,20809.199,3723.3,67199,71417,1014,2.2838,3.24915,6.9,5,3,1,90,8
24773958,复仇者联盟3：无限战争,2018-05-11,239050.203,127224.0,38726.0,1146071,226193,3599,3.18469,4.04196,8.1,10,10,0,149,12
24827387,盗墓笔记,2016-08-05,100310.297,47816.199,16130.0,515691,65463,4539,0.940025,2.76667,4.8,7,7,1,123,6
24827406,九层妖塔,2015-09-30,68132.398,42250.699,9135.4,267851,63310,1023,0.791603,2.14478,4.4,6,3,1,115,3
24843198,同桌的你,2014-04-25,45557.102,10992.8,2563.0,24267,73064,1800,2.75,3.0034,5.9,6,3,1,98,7
24847340,小时代3：刺金时代,2014-07-17,52098.398,31537.199,10764.2,72152,62685,979,0.898728,2.8339,4.6,8,11,1,126,9
24847343,小时代4：灵魂尽头,2015-07-09,48468.699,36409.801,10697.7,258979,49573,754,1.77652,2.57288,4.9,5,11,1,116,9
24852545,爱情公寓,2018-08-10,55544.5,49116.801,30349.4,1544263,109482,3385,1.16199,1.73356,3.2,4,8,1,117,4
24879839,道士下山,2015-07-03,40009.301,23444.5,6029.4,69375,62857,1511,1.32045,2.80137,5.5,8,6,1,123,11
24879858,分手大师,2014-06-27,66508.602,15351.7,3960.6,46290,77260,568,1.48211,2.81661,5.1,5,3,1,116,9
25662327,火锅英雄,2016-04-01,36995.102,14076.5,3512.7,65170,90370,1289,2.72891,3.79461,7.2,6,4,1,98,6
25662329,疯狂动物城,2016-03-04,153189.906,15517.2,2242.6,72537,341944,3864,4.00833,4.47475,9.2,5,6,0,109,0
25662337,惊天魔盗团2,2016-06-24,63771.102,28776.9,8854.8,513937,67378,462,1.54619,3.33333,6.8,9,7,0,130,6
25710912,港囧,2015-09-25,161135.0,68258.297,19903.301,617005,106566,1786,2.32057,3.25175,5.7,2,7,1,114,10
25713420,钟馗伏魔：雪妖魔灵,2015-02-19,40628.102,19601.5,6296.8,53200,23061,365,1.73405,2.34138,4.3,8,8,1,118,5
25717233,心花路放,2014-09-30,116946.898,61206.898,10320.0,74532,121221,1863,2.12481,3.72542,7.2,5,3,1,118,9
25723583,英伦对决,2017-09-30,53982.398,14716.8,7264.6,114525,57096,939,3.57061,3.84014,7.0,6,4,0,113,8
25723907,捉妖记,2015-07-16,243619.0,66881.102,16247.9,204826,130437,1473,3.0542,3.68151,6.7,5,6,1,118,5
25726614,神奇动物在哪里,2016-11-25,59085.199,28313.1,7484.1,130686,145461,1616,2.83603,3.61224,7.8,7,6,0,133,2
25745752,左耳,2015-04-24,48442.0,19770.301,5514.0,82116,70474,1499,1.13728,3.07744,5.6,6,3,1,117,7
25765735,金刚狼3：殊死一战,2017-03-03,73008.398,34160.398,10335.3,85893,123770,2590,3.66094,4.21549,8.3,9,9,0,123,9
25769362,哆啦A梦：伴我同行,2015-05-28,52915.398,23846.301,2704.2,123310,72825,1136,4.15128,4.18836,8.0,4,7,0,95,2
25777636,奇幻森林,2016-04-15,97683.797,31825.6,7812.1,123410,71311,961,3.72367,3.76254,7.8,7,4,0,106,3
25779217,诛仙1,2019-09-13,40501.0,27317.199,14442.2,337146,303979,8009,1.03321,1.39932,4.4,6,5,1,101,3
25779218,匆匆那年,2014-12-05,58861.102,20692.5,5986.3,74203,76152,1882,1.54003,2.87838,5.6,3,3,1,119,7
25785314,爸爸去哪儿,2014-01-31,69651.398,25660.5,9431.6,15705,28389,270,2.10691,3.328,5.9,5,8,1,95,3
25786060,X战警：天启,2016-06-03,80091.0,38500.5,11153.6,559919,92846,874,3.06346,3.93898,7.7,10,9,0,144,6
25786077,末日崩塌,2015-06-02,62858.398,31846.6,3406.1,65386,40099,303,2.68939,3.47931,7.0,6,3,0,114,3
25797778,冰川时代5：星际碰撞,2016-08-23,44659.398,28504.801,5527.4,132089,22590,167,2.72093,3.46875,7.0,5,11,0,94,2
25801066,西游伏妖篇,2017-01-28,165207.203,58850.898,35448.699,212622,134614,5802,2.32614,3.31849,5.5,8,9,1,108,8
25805741,后会无期,2014-07-24,62874.898,29607.699,7237.9,70716,174817,7717,1.54177,3.58163,7.1,3,6,1,104,9
25808075,猩球崛起3：终极之战,2017-09-15,74050.297,40336.602,12390.3,414474,58204,1219,2.68541,3.45424,6.9,9,7,0,140,0
25812712,神偷奶爸3,2017-07-07,103790.602,44417.199,13781.9,250810,66101,421,3.21625,3.42667,6.8,5,13,0,90,0
25815034,湄公河行动,2016-09-30,118647.602,16540.801,3897.1,57731,178626,2334,3.83728,4.21405,8.0,9,4,1,124,8
25820460,美国队长3,2016-05-06,124396.5,62684.801,18084.199,567624,127432,1858,4.16858,4.24315,7.9,8,9,0,148,12
25821634,雷神3：诸神黄昏,2017-11-03,74370.797,36269.0,10599.6,218426,114981,972,3.52664,3.62712,7.4,7,9,0,130,8
25823277,三生三世十里桃花,2017-08-03,53500.602,42863.5,16963.4,811385,99928,5345,0.931599,2.44027,4.0,5,7,1,109,7
25823833,天将雄师,2015-02-19,73940.602,34383.301,11871.2,70220,30457,603,2.9868,3.35764,6.0,6,8,1,127,8
25824686,变形金刚5：最后的骑士,2017-06-23,155125.594,87180.203,28959.199,532878,79151,2472,0.973418,3.56747,4.9,6,9,0,155,6
25827963,西游记之孙悟空三打白骨精,2016-02-08,119853.602,76880.5,16632.9,207744,48770,1225,2.61218,3.57718,5.6,7,9,1,120,8
25829175,西游记女儿国,2018-02-16,72740.203,33149.301,16426.5,370255,54492,2976,2.17168,3.05172,4.4,7,10,1,116,7
25849049,超人总动员2,2018-06-22,35438.5,13720.6,3040.2,67501,65669,558,4.02952,4.10033,7.9,8,8,0,118,1
25858785,澳门风云2,2015-02-19,97104.203,27170.199,6360.8,53044,34425,225,1.74154,3.19159,5.5,5,11,0,110,9
25864085,火星救援,2015-11-25,58571.199,30965.9,5239.6,130885,134783,1298,2.83582,4.16216,8.5,8,3,0,144,3
25870084,重返20岁,2015-01-08,36497.199,12453.3,2202.5,49029,100729,1677,2.47741,3.83562,7.1,7,8,1,131,4
25882296,狄仁杰之四大天王,2018-07-27,60636.398,29670.1,11012.6,358309,89207,1223,2.42908,3.0604,6.1,10,8,1,132,7
25887288,冰雪奇缘2,2019-11-22,86076.602,37562.898,7407.1,204361,118481,1670,3.34911,3.19661,7.2,5,10,0,103,3
25890017,哥斯拉2：怪兽之王,2019-05-31,93739.898,46817.398,13555.0,325416,79043,952,1.60609,2.85959,6.3,9,8,0,132,2
25894431,星球大战外传：侠盗一号,2017-01-06,47718.602,22438.6,7166.7,100271,51695,871,3.08807,3.89456,7.3,8,14,0,134,3
25895276,煎饼侠,2015-07-17,116018.398,43052.301,13250.8,175432,95792,1128,2.84665,3.19655,5.8,2,6,1,113,6
25900945,美女与野兽,2017-03-17,59039.801,31007.801,8372.0,94274,110123,1825,3.15025,3.48829,7.2,5,4,0,129,3
25907124,姜子牙,2020-10-01,160296.406,103636.602,36147.699,1425171,206528,5817,3.04235,3.13043,6.8,6,11,1,110,0
25911694,摆渡人,2016-12-23,48255.699,28074.199,7942.0,203019,85859,3151,0.953535,2.70169,4.1,5,4,1,128,11
25937854,银河护卫队2,2017-05-05,68615.0,34280.898,9860.9,154543,123675,1007,3.56307,3.93857,8.0,8,9,0,136,6
25955779,忍者神龟2：破影而出,2016-07-02,39263.398,17011.6,9090.6,284659,20350,213,2.30808,3.30964,6.5,10,13,0,113,5
25964071,夏洛特烦恼,2015-09-30,144480.094,25763.199,2317.2,80510,218941,4082,3.40434,3.3064,7.7,5,3,1,104,9
25986662,疯狂的外星人,2019-02-05,221321.203,146176.906,41019.699,459801,215113,2581,2.14885,3.41216,6.4,5,10,1,116,9
26021055,栀子花开,2015-07-10,37837.699,25799.199,9615.7,174225,46714,955,2.53728,3.41077,4.4,3,6,1,107,5
26035290,悟空传,2017-07-13,69685.102,40193.602,10791.5,338817,83610,3206,2.11008,2.75932,5.1,8,7,1,123,6
26100958,复仇者联盟4：终局之战,2019-04-24,425012.812,223283.703,53774.102,1849927,314624,5875,3.93883,3.64068,8.5,13,10,0,181,12
26147417,神奇动物：格林德沃之罪,2018-11-16,39887.699,26081.6,8040.5,192794,135718,1200,2.2419,3.6314,7.1,4,7,0,134,5
26182910,功夫瑜伽,2017-01-28,174867.594,27189.9,13804.2,89920,59498,1168,2.11196,2.9094,4.9,7,9,1,108,4
26213252,惊奇队长,2019-03-08,103516.5,59826.102,21543.199,432611,152067,1476,3.30321,3.2047,6.9,8,7,0,124,9
26260853,速度与激情8,2017-04-14,267093.406,135202.5,41707.199,320713,96398,1324,2.15232,3.42475,7.0,6,9,0,136,9
26266072,谍影重重5,2016-08-23,44647.602,32795.0,7461.7,104682,53842,612,2.7165,3.65101,7.5,7,9,0,123,6
26266893,流浪地球,2019-02-05,468638.594,203168.0,19074.1,249887,663055,21831,2.69094,3.67474,7.8,6,10,1,125,9
26274910,奔跑吧！兄弟,2015-01-30,44270.0,23099.0,7981.7,49025,19771,168,0.945844,1.77124,3.5,2,8,1,88,9
26277313,西游记之大圣归来,2015-07-10,94291.5,8476.8,1776.0,53648,195553,5052,4.23532,3.95172,8.3,6,6,1,89,1
26280528,从你的全世界路过,2016-09-29,81333.703,31129.4,7409.8,240303,102611,3745,1.84262,3.08389,5.3,5,4,1,113,7
26284595,大话西游3,2016-09-14,36552.102,25102.801,4194.4,287204,22337,747,1.40415,2.06376,4.0,7,4,1,93,9
26289144,滚蛋吧！肿瘤君,2015-08-13,51044.5,18515.6,4046.7,99111,106002,1854,3.65516,3.89041,7.4,5,6,1,128,7
26290365,恶棍天使,2015-12-24,64853.898,50869.199,15242.5,511658,43342,962,1.03376,2.01365,4.3,2,3,1,124,6
26309788,金刚：骷髅岛,2017-03-24,115891.602,50105.699,15064.0,85314,65339,1178,1.57443,3.33673,6.5,7,4,0,119,9
26311973,唐人街探案,2015-12-31,82333.602,39792.398,9186.5,142841,185008,1882,2.68216,3.85235,7.7,8,3,1,135,11
26322792,北京遇上西雅图之不二情书,2016-04-29,78537.602,35500.5,11024.7,307383,76549,2247,3.02946,3.16554,6.4,5,7,1,131,5
26325320,血战钢锯岭,2016-12-08,42581.898,11765.5,1758.1,32064,171052,4048,3.59343,3.79264,8.7,5,4,0,139,3
26334559,澳门风云3,2016-02-08,111639.797,79158.398,17605.199,528350,41533,417,1.19708,2.17288,4.3,5,12,1,112,10
26336252,碟中谍6：全面瓦解,2018-08-31,124523.0,53082.102,16823.4,242120,141476,971,3.52139,4.05743,8.1,6,13,0,147,5
26336253,使徒行者,2016-08-11,60538.398,24044.6,5700.4,165123,57328,731,2.22304,3.55743,6.9,9,7,0,109,8
26342391,紧急救援,2020-12-18,48525.398,23554.699,6982.2,651545,33792,749,2.83674,2.77703,6.2,4,6,1,134,5
26354336,爵迹,2016-09-30,38252.0,19794.699,5872.4,394616,58762,1408,1.12232,2.40134,3.9,3,6,1,121,7
26363254,战狼2,2017-07-27,569361.0,99680.0,10211.8,411940,287084,9643,2.67619,2.9798,7.1,5,10,1,123,9
26366465,我的少女时代,2015-11-19,35893.102,10728.4,2068.9,54553,161653,3439,3.38397,3.82333,7.8,5,3,1,134,3
26366496,邪不压正,2018-07-13,58351.699,31540.301,12217.8,215617,201364,4526,2.20625,3.58562,7.0,8,8,1,137,10
